game_id,week,team,epa_total,jogadas,epa_scrimmage,jogadas_scrimmage,season
2017_06_LAC_OAK,6,LV,-3.6345051655360545,72,-6.437415036005264,53,2017
2017_06_LA_JAX,6,JAX,-16.71359558080333,92,-3.9228787864096972,66,2017
2017_06_LA_JAX,6,LA,-1.5063477083297045,77,-9.012151144732762,54,2017
2017_06_MIA_ATL,6,ATL,-2.4772495405509476,72,0.5871585594307112,55,2017
2017_06_MIA_ATL,6,MIA,4.156621014071315,80,0.17103929912731397,63,2017
2017_06_NE_NYJ,6,NE,6.382611018272437,83,10.492358151344563,62,2017
2017_06_NE_NYJ,6,NYJ,-2.6405334144063337,89,1.3084403828539037,73,2017
2017_06_NYG_DEN,6,DEN,-20.498229126227137,96,-19.832473606310455,73,2017
2017_06_NYG_DEN,6,NYG,-3.564945432269112,72,-2.8725797226221945,54,2017
2017_06_PHI_CAR,6,CAR,-6.987608055961416,98,-16.287087687854317,79,2017
2017_06_PHI_CAR,6,PHI,1.177097296474404,82,-0.28983993339868075,59,2017
2017_06_PIT_KC,6,KC,-5.070667907143992,69,-7.246124009872574,52,2017
2017_06_PIT_KC,6,PIT,2.0128067882916842,80,11.034041457876414,61,2017
2017_06_SF_WAS,6,SF,0.490817613799444,92,3.5528978044320825,70,2017
2017_06_SF_WAS,6,WAS,2.097150832081533,91,-0.1723912144045059,70,2017
2017_06_TB_ARI,6,ARI,5.037373206841675,81,1.7009271073901964,55,2017
2017_06_TB_ARI,6,TB,1.4303248380958862,86,5.103166642162717,68,2017
2017_07_ARI_LA,7,ARI,-23.3147048848914,67,-18.02723199664591,47,2017
2017_07_ARI_LA,7,LA,15.030371137095935,97,14.574451870384054,77,2017
2017_07_ATL_NE,7,ATL,-6.370975143843147,69,3.3009173730181467,56,2017
2017_07_ATL_NE,7,NE,11.446889677464398,89,14.937150292673666,64,2017
2017_07_BAL_MIN,7,BAL,-9.256505098773982,86,-10.49592623016928,64,2017
2017_07_BAL_MIN,7,MIN,-0.7423159371226795,81,-3.0989116878922984,64,2017
2017_07_CAR_CHI,7,CAR,-29.97077406826429,84,-29.83065955924041,69,2017
2017_07_CAR_CHI,7,CHI,-15.382605926627392,53,-11.421713035706638,34,2017
2017_07_CIN_PIT,7,CIN,-10.12090819163025,65,-9.921675004705321,50,2017
2017_07_CIN_PIT,7,PIT,6.337096202915903,87,2.820129518892536,65,2017
2017_07_DAL_SF,7,DAL,26.059560206692424,88,24.12020057153143,70,2017
2017_07_DAL_SF,7,SF,-11.962982623968323,79,-14.20515484648786,65,2017
2017_07_DEN_LAC,7,DEN,-29.923151674622204,80,-21.78586568951141,59,2017
2017_07_DEN_LAC,7,LAC,-6.744440043678187,74,-7.153705219738185,55,2017
2017_07_JAX_IND,7,IND,-19.3357101881993,82,-20.14571948820958,67,2017
2017_07_JAX_IND,7,JAX,15.571870807780414,78,15.375166435034583,64,2017
2017_07_KC_OAK,7,KC,21.767955047967696,77,20.455187448711744,60,2017
2017_07_KC_OAK,7,LV,17.727063168446545,102,18.01587330804153,73,2017
2017_07_NO_GB,7,GB,1.2799529489722525,73,2.552590979212816,50,2017
